id,subject,topic,difficulty,question,options,correct_option,explanation,concept,prerequisites
1,Science,Biology,Medium,What type of organism is commonly used in preparation of foods such as cheese and yogurt?,viruses|gymnosperms|mesophilic organisms|protozoa,C,"Mesophilic organisms are commonly used in fermented foods such as cheese and yogurt. They grow best at moderate temperatures, which supports controlled fermentation.",Fermentation,Microorganisms
2,Science,Earth Science,Hard,What phenomenon makes global winds blow northeast to southwest or the reverse in the northern hemisphere and northwest to southeast or the reverse in the southern hemisphere?,tropical effect|muon effect|coriolis effect|centrifugal effect,C,The Coriolis Effect makes global winds curve because Earth rotates on its axis. This causes winds to follow different curved paths in the Northern and Southern Hemispheres.,Coriolis Effect,"Earth Rotation, Global Winds"
3,Science,Chemistry,Medium,Changes from a less-ordered state to a more-ordered state (such as a liquid to a solid) are always what?,exothermic|unbalanced|reactive|endothermic,A,"A change from a less-ordered state to a more-ordered state, such as liquid water freezing into solid ice, releases heat. Therefore, this type of phase change is exothermic.",Phase Changes,"States of Matter, Heat Transfer"
4,Science,Physics,Easy,What is the least dangerous radioactive decay?,gamma decay|beta decay|alpha decay|zeta decay,C,Alpha decay is usually considered the least dangerous type of radioactive decay because alpha particles have low penetrating power. They can often be stopped by paper or the outer layer of skin.,Alpha Decay,Radioactivity
5,Science,Earth Science,Medium,Kilauea in hawaii is the world’s most continuously active volcano. very active volcanoes characteristically eject red-hot rocks and lava rather than this?,magma|smoke and ash|carbon and smog|greenhouse gases,B,"Very active volcanoes commonly eject red-hot rocks and lava. In this question, they are contrasted with smoke and ash.",Volcanic Eruptions,Volcanoes
6,Science,Earth Science,Easy,"When a meteoroid reaches earth, what is the remaining object called?",meteor|meteorite|comet|orbit,B,"When a meteoroid enters Earth's atmosphere, it produces a meteor. If part of it survives and reaches Earth's surface, the remaining object is called a meteorite.",Meteorites,Meteoroids
7,Science,Chemistry,Easy,What kind of a reaction occurs when a substance reacts quickly with oxygen?,nitrogen reaction|combustion reaction|invention reaction|Fluid Reaction,B,"A combustion reaction occurs when a substance reacts quickly with oxygen. This reaction usually releases heat and light, so it is commonly called burning.",Combustion Reactions,"Chemical Reactions, Oxygen"
8,Science,Biology,Hard,"Organisms categorized by what species descriptor demonstrate a version of allopatric speciation and have limited regions of overlap with one another, but where they overlap they interbreed successfully?.",species complex|fitting species|surface species|ring species,D,"Ring species show a form of allopatric speciation where neighboring populations can interbreed in overlap regions. However, the end populations may no longer interbreed successfully.",Ring Species,Speciation
9,Science,Physics,Easy,Alpha emission is a type of what?,radiation|light|radioactivity|heat,C,Alpha emission is a type of radioactivity. It occurs when an unstable nucleus releases an alpha particle.,Alpha Emission,Radioactivity
10,Science,Biology,Easy,What is the stored food in a seed called?,membrane|endosperm|pollin|larval,B,Endosperm is the stored food present in a seed. It provides nourishment to the developing embryo until the young plant can make its own food.,Endosperm,Seeds
11,Science,Chemistry,Medium,"Zinc is more easily oxidized than iron because zinc has a lower reduction potential. since zinc has a lower reduction potential, it is a more what?",Trap metal|usually metal|active metal|much metal,C,"Zinc has a lower reduction potential than iron, so it is more easily oxidized. This makes zinc a more active metal.",Reduction Potential,"Oxidation, Metals"
12,Science,Biology,Easy,What is controlled by both genes and experiences in a given envionment?,instincts|reflexes|animal behaviors|learned behaviors,C,Animal behaviors are controlled by both inherited genes and experiences in the environment. This combination influences how animals respond and act.,Animal Behavior,"Genes, Environment"
13,Science,Biology,Medium,What tells you how much of the food you should eat to get the nutrients listed on the label?,scoop size|regular size|longer size|serving size,D,Serving size tells how much food should be eaten to get the nutrients listed on the label. The nutrition values are calculated for that specific amount of food.,Nutrition Labels,Nutrients
